gene_id	gene_name	gene_biotype	N545FJ_1_cpm	N545FJ_1_count	N545FJ_2_cpm	N545FJ_2_count	N545FJ_3_cpm	N545FJ_3_count	N545FJ_4_cpm	N545FJ_4_count	N545FJ_5_cpm	N545FJ_5_count	N545FJ_6_cpm	N545FJ_6_count
ENSG00000262304		protein_coding	0.4842065702744884	4.5	0.26621498566486856	1.83	0.2869720969874928	3.0	0.42637304458526437	4.0	0.29944544081809515	3.0	0.29624857808859717	3.17
ENSG00000262312		lncRNA	0.250711401942124	2.33	0.8728360185733396	6.0	0.45437248689686366	4.75	0.42637304458526437	4.0	0.5489833081665078	5.5	0.46726905061292934	5.0
ENSG00000262313		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262316	RPL7L1P19	processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262319		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262322	MTND4P34	unprocessed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262332		lncRNA	0.05380073003049871	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.07486136020452379	0.75	0.0	0.0
ENSG00000262333	HNRNPA1P16	processed_pseudogene	0.21520292012199485	2.0	0.2909453395244465	2.0	0.19131473132499524	2.0	0.10659326114631609	1.0	0.39926058775746015	4.0	0.09345381012258586	1.0
ENSG00000262339		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262343		lncRNA	0.10760146006099743	1.0	0.0	0.0	0.0	0.0	0.10659326114631609	1.0	0.0	0.0	0.0	0.0
ENSG00000262352	LINC02564	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262358		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.2398348375792112	2.25	0.09981514693936504	1.0	0.09345381012258586	1.0
ENSG00000262362		lncRNA	0.0	0.0	0.0	0.0	0.03156693066862422	0.33	0.0	0.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262366	NDUFA3P6	processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.10659326114631609	1.0	0.0	0.0	0.0	0.0
ENSG00000262370		lncRNA	1.0760146006099742	10.0	1.600199367384456	11.0	2.8697209698749284	30.0	1.279119133755793	12.0	0.6987060285755553	7.0	0.654176670858101	7.0
ENSG00000262372		lncRNA	0.10760146006099743	1.0	0.14547266976222326	1.0	0.0	0.0	0.10659326114631609	1.0	0.29944544081809515	3.0	0.09345381012258586	1.0
ENSG00000262380		lncRNA	0.8608116804879794	8.0	0.2909453395244465	2.0	0.5739441939749856	6.0	0.42637304458526437	4.0	0.7985211755149203	8.0	0.1869076202451717	2.0
ENSG00000262381	MTATP6P24	unprocessed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262384		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262400	CANT1P1	processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262402	MCUR1P1	processed_pseudogene	0.10760146006099743	1.0	0.4364180092866698	3.0	0.2869720969874928	3.0	0.0	0.0	0.0	0.0	0.14018071518387878	1.5
ENSG00000262406	MMP12	protein_coding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262408		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262410		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19963029387873008	2.0	0.0	0.0
ENSG00000262412		lncRNA	0.10760146006099743	1.0	0.2909453395244465	2.0	0.3826294626499905	4.0	0.5329663057315804	5.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262413		lncRNA	0.4304058402439897	4.0	0.7273633488111163	5.0	0.5739441939749856	6.0	1.279119133755793	12.0	0.9981514693936504	10.0	0.7476304809806869	8.0
ENSG00000262420	TXNDC11-AS1	lncRNA	1.7216233609759588	16.0	1.018308688335563	7.0	0.47828682831248803	5.0	0.8527460891705287	8.0	0.7985211755149203	8.0	0.28036143036775757	3.0
ENSG00000262429		lncRNA	0.4304058402439897	4.0	0.4364180092866698	3.0	0.09565736566249762	1.0	0.5329663057315804	5.0	0.19963029387873008	2.0	0.28036143036775757	3.0
ENSG00000262434		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262445		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262454	MIR193BHG	lncRNA	0.4842065702744884	4.5	1.3092540278600093	9.0	0.5261155111437369	5.5	0.10659326114631609	1.0	0.39926058775746015	4.0	0.3738152404903434	4.0
ENSG00000262456		lncRNA	0.10760146006099743	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09981514693936504	1.0	0.09345381012258586	1.0
ENSG00000262461	SPDYE9	protein_coding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262468	LINC01569	lncRNA	2.259630661280946	21.0	0.800099683692228	5.5	2.5827488728874357	27.0	1.7054921783410575	16.0	2.096118085726666	21.0	1.2148995315936162	13.0
ENSG00000262470	TVP23CP2	processed_pseudogene	0.10760146006099743	1.0	0.14547266976222326	1.0	0.0	0.0	0.10659326114631609	1.0	0.0	0.0	0.0	0.0
ENSG00000262471		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262480	SAMD11P1	processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262481	TMEM256-PLSCR3	protein_coding	85.32795782837096	793.0	85.24698448066283	586.0	72.19739673377008	754.75	60.65156559225385	569.0	66.37707271467775	665.0	67.70728543381347	724.5
ENSG00000262482		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09981514693936504	1.0	0.1869076202451717	2.0
ENSG00000262484	CCER2	protein_coding	0.5380073003049871	5.0	0.2909453395244465	2.0	0.2869720969874928	3.0	0.21318652229263219	2.0	0.39926058775746015	4.0	0.5607228607355151	6.0
ENSG00000262488		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262492		processed_pseudogene	0.0	0.0	0.14547266976222326	1.0	0.2869720969874928	3.0	0.21318652229263219	2.0	0.0	0.0	0.09345381012258586	1.0
ENSG00000262495		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262497	FAM187B2P	unprocessed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04990757346968252	0.5	0.0	0.0
ENSG00000262500	MAPK8IP1P1	processed_pseudogene	0.05380073003049871	0.5	0.0	0.0	0.04782868283124881	0.5	0.053296630573158046	0.5	0.0	0.0	0.030839757340453335	0.33
ENSG00000262503	SPICP3	transcribed_processed_pseudogene	0.0	0.0	0.14547266976222326	1.0	0.09565736566249762	1.0	0.053296630573158046	0.5	0.09981514693936504	1.0	0.0	0.0
ENSG00000262514		lncRNA	1.5602211708844627	14.5	1.4547266976222326	10.0	1.9131473132499521	20.0	1.8120854394873733	17.0	1.896487791847936	19.0	1.401807151838788	15.0
ENSG00000262516	DPPA3P6	processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262518		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262519	TXNP4	processed_pseudogene	0.10760146006099743	1.0	0.07273633488111163	0.5	0.0	0.0	0.053296630573158046	0.5	0.04990757346968252	0.5	0.14018071518387878	1.5
ENSG00000262521		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262526		protein_coding	214.71871355172036	1995.5	220.57293552697104	1516.25	212.31152308791346	2219.5	192.93380267483212	1810.0	141.18852534573185	1414.5	172.18864515086446	1842.5
ENSG00000262528		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.21318652229263219	2.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262529		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262533		lncRNA	0.8608116804879794	8.0	1.018308688335563	7.0	0.6696015596374832	7.0	1.8120854394873733	17.0	1.7966726449085708	18.0	1.7756223923291314	19.0
