Metric	Value
Input Reads	19353976
Mapped Reads	19208028
Unmapped Reads	128521
Unique Mapped Reads	17441370
Multiple Mapped Reads	1766658
Mapping Rate	99.24590172065936
Dedup Mapped Reads	12016232
Dedup Unmapped Reads	0
Dedup Uniquely Mapped Reads	10933844
Dedup Multi Mapped Reads	1082388
Dedup Mapped Reads Rate	62.08663274151006
