EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	GPR135	1.45552	-0.290576				protein_coding								
	HSD11B2	1.4488	-0.0158531				protein_coding								
	LHFPL5	1.4488	-0.0158531				protein_coding								
	ENSG00000223343	1.4488	-0.0158531				lncRNA								
	ENSG00000278576	1.4488	-0.0158531				lncRNA								
	ENSG00000287644	1.4488	-0.0158531				lncRNA								
	TWIST1	1.44056	0.413663				protein_coding								
	RPS14P5	1.44056	0.413663				processed_pseudogene								
	RMRP	1.43571	0.744208				ribozyme								
	ENSG00000299526	1.43571	0.744208				lncRNA								
	ENSG00000305326	1.43495	-0.305625				lncRNA								
	NPEPPSP2	1.42614	-0.475232				unprocessed_pseudogene								
	RNU6-522P	1.40857	1.11409				snRNA								
	MIR3680-2	1.40785	0.995009				miRNA								
	PTK6	1.40101	0.183472				protein_coding								
	NCAM1	1.40101	0.183472				protein_coding								
	GTF2A1-AS1	1.40101	0.183472				lncRNA								
	ENSG00000288900	1.40101	0.183472				lncRNA								
	ELOCP19	1.39819	-0.0527186				processed_pseudogene								
	TENM1	1.39415	-0.335295				protein_coding								
	COL27A1	1.39415	-0.335295				protein_coding								
	Y_RNA	1.39415	-0.335295				misc_RNA								
	CFAP95	1.39415	-0.335295				protein_coding								
	ASS1P1	1.39415	-0.335295				transcribed_processed_pseudogene								
	ENSG00000248791	1.39415	-0.335295				processed_pseudogene								
	EEF1DP7	1.39415	-0.335295				transcribed_processed_pseudogene								
	ENSG00000286138	1.39415	-0.335295				lncRNA								
	ENSG00000307416	1.39415	-0.335295				lncRNA								
	ENSG00000251922	1.38788	-0.687042				snoRNA								
	PDE1B	1.38353	1.80184				protein_coding								
	RGS17	1.37687	-1.15319				protein_coding								
	STEAP1B	1.37687	-1.15319				protein_coding								
	MOGAT3	1.37687	-1.15319				protein_coding								
	RBP1	1.37687	-1.15319				protein_coding								
	RASL11A	1.37687	-1.15319				protein_coding								
	SOX5	1.37687	-1.15319				protein_coding								
	DZIP1	1.37687	-1.15319				protein_coding								
	LRIG3	1.37687	-1.15319				protein_coding								
	CFAP210	1.37687	-1.15319				protein_coding								
	STEAP2	1.37687	-1.15319				protein_coding								
	CILP2	1.37687	-1.15319				protein_coding								
	ERICH6	1.37687	-1.15319				protein_coding								
	CDC42BPG	1.37687	-1.15319				protein_coding								
