EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	MIR193BHG	0.0576788	-0.651682				lncRNA								
	SNORD84	0.0576788	-0.651682				snoRNA								
	ENSG00000265408	0.0576788	-0.651682				lncRNA								
	ENSG00000266900	0.0576788	-0.651682				lncRNA								
	RNF157-AS1	0.0576788	-0.651682				lncRNA								
	GEMIN7-AS1	0.0576788	-0.651682				lncRNA								
	ENSG00000268583	0.0576788	-0.651682				lncRNA								
	ENSG00000270091	0.0576788	-0.651682				lncRNA								
	ARFGEF1-DT	0.0576788	-0.651682				lncRNA								
	LINC02928	0.0576788	-0.651682				lncRNA								
	LHX1	0.0576788	-0.651682				protein_coding								
	ENSG00000276272	0.0576788	-0.651682				lncRNA								
	ENSG00000278022	0.0576788	-0.651682				lncRNA								
	ZNF229	0.0576788	-0.651682				protein_coding								
	ENSG00000280033	0.0576788	-0.651682				TEC								
	ENSG00000280121	0.0576788	-0.651682				TEC								
	LINC01176	0.0576788	-0.651682				lncRNA								
	ENSG00000282199	0.0576788	-0.651682				lncRNA								
	ENSG00000285521	0.0576788	-0.651682				lncRNA								
	ENSG00000285870	0.0576788	-0.651682				lncRNA								
	ENSG00000286873	0.0576788	-0.651682				lncRNA								
	ENSG00000288990	0.0576788	-0.651682				lncRNA								
	ENSG00000294647	0.0576788	-0.651682				lncRNA								
	ENSG00000295032	0.0576788	-0.651682				lncRNA								
	ENSG00000299722	0.0576788	-0.651682				lncRNA								
	ENSG00000300710	0.0576788	-0.651682				lncRNA								
	ENSG00000303116	0.0576788	-0.651682				lncRNA								
	ENSG00000304359	0.0576788	-0.651682				lncRNA								
	ENSG00000306006	0.0576788	-0.651682				lncRNA								
	ENSG00000306457	0.0576788	-0.651682				lncRNA								
	ENSG00000306927	0.0576788	-0.651682				lncRNA								
	ENSG00000308739	0.0576788	-0.651682				lncRNA								
	HINT1	0.0575633	9.79197				protein_coding								
	ENSG00000290315	0.0575577	8.24764				protein_coding								
	ENSG00000279443	0.0575522	2.1228				TEC								
	CDADC1	0.0575423	3.01332				protein_coding								
	RIPOR1	0.0575386	3.55986				protein_coding								
	CDKN2D	0.057532	6.07843				protein_coding								
	NUCB2	0.0575029	5.95301				protein_coding								
	POLR1D	0.057486	7.32511				protein_coding								
	SGTA	0.0574525	5.49716				protein_coding								
	PLIN2	0.0574351	6.22535				protein_coding								
	CEBPZOS	0.0574209	5.00675				protein_coding								
	BRD7	0.0573654	6.30403				protein_coding								
	CHMP5	0.0572577	6.18234				protein_coding								
	TAF5L	0.0572437	5.23016				protein_coding								
	DLGAP1-AS1	0.0571322	2.1067				lncRNA								
	COPA	0.0571	6.76932				protein_coding								
	MAPK8IP3	0.0570573	3.6168				protein_coding								
	PCNT	0.0570558	6.17464				protein_coding								
	MT-TL1	0.0570349	4.31431				Mt_tRNA								
	EIF5AP2	0.0570272	2.29836				processed_pseudogene								
	SMG1P5	0.0568892	3.68203				lncRNA								
	KDM1A	0.0568517	6.1669				protein_coding								
	ENSG00000231747	0.0568388	3.90073				processed_pseudogene								
	CARS2	0.056805	4.8976				protein_coding								
	METTL14	0.056805	4.8976				protein_coding								
	ERCC5	0.0567922	4.09027				protein_coding								
	HYLS1	0.0567671	4.23605				protein_coding								
	RPS24	0.0566811	10.5924				protein_coding								
	PSTPIP1	0.0566808	4.89292				protein_coding								
	OGT	0.0566185	7.47987				protein_coding								
	MAPKAPK3	0.0565376	6.81922				protein_coding								
	RPL10P16	0.0563809	6.10527				transcribed_processed_pseudogene								
	ENSG00000293669	0.0560754	2.7121				lncRNA								
	ARID5B	0.0560403	5.18489				protein_coding								
	ENSG00000290230	0.0560203	3.7138				protein_coding								
	HLA-H	0.0559617	3.3418				transcribed_unprocessed_pseudogene								
	HAX1	0.0558513	7.19513				protein_coding								
	SNHG3	0.0557547	7.94012				lncRNA								
	ENSG00000286753	0.0557205	0.272454				lncRNA								
	HSPA8	0.0556223	9.72356				protein_coding								
	HEG1	0.0555834	6.91643				protein_coding								
	URB1	0.0554752	4.81788				protein_coding								
	ENSG00000291149	0.0554495	3.97406				lncRNA								
	SNHG21	0.0554314	3.4809				lncRNA								
	NR3C1	0.0554092	6.52526				protein_coding								
	ADCY7	0.055269	5.29191				protein_coding								
	ASB3	0.0552593	4.84035				protein_coding								
	ENSG00000258077	0.0551626	2.7479				lncRNA								
	ATAD5	0.0551172	6.24244				protein_coding								
	SNRNP48	0.0550752	4.64533				protein_coding								
	DNAJC8	0.0550233	7.12945				protein_coding								
	MIB1	0.0550225	5.28298				protein_coding								
	CYB5R4	0.0550093	4.42627				protein_coding								
	RPL7P9	0.0549818	7.55506				processed_pseudogene								
	PRELID3B	0.0549347	6.82811				protein_coding								
	TICRR	0.054922	4.99474				protein_coding								
	SNX2	0.0549204	4.63975				protein_coding								
	RPS15AP10	0.0548824	2.02342				processed_pseudogene								
	CCT8	0.0548186	8.76752				protein_coding								
	ZC3H4	0.0547227	5.2722				protein_coding								
	RPL36AP37	0.0547181	8.15394				processed_pseudogene								
	SS18	0.0546658	5.71174				protein_coding								
	WSB1	0.0546513	6.49292				protein_coding								
	ARMCX3	0.054647	5.13419				protein_coding								
	RNU4-32P	0.0546138	-0.765571				snRNA								
	ENSG00000227632	0.0546138	-0.765571				transcribed_unprocessed_pseudogene								
	RPL31P46	0.0546138	-0.765571				transcribed_processed_pseudogene								
	ENSG00000268533	0.0546138	-0.765571				protein_coding								
	ENSG00000271810	0.0546138	-0.765571				protein_coding								
	ENSG00000278986	0.0546138	-0.765571				TEC								
	TBCEL-TECTA	0.0546138	-0.765571				protein_coding								
	UBE2N	0.0545236	8.26196				protein_coding								
	ORC6	0.0545071	5.79817				protein_coding								
	MAN2B2	0.054488	4.081				protein_coding								
	ETHE1	0.0544507	6.8327				protein_coding								
	SH3BP2	0.05441	5.49866				protein_coding								
	ZNF354A	0.0543831	2.89648				protein_coding								
	TRIOBP	0.0543661	5.70106				protein_coding								
	SACM1L	0.0543625	5.90705				protein_coding								
	LINC01597	0.0543062	-0.221449				lncRNA								
	PPP1R35	0.0542939	6.37047				protein_coding								
	SRSF6	0.0542292	6.66396				protein_coding								
	CSNK1G3	0.054198	5.11822				protein_coding								
	MORF4L1	0.054161	8.52				protein_coding								
	PTPRCAP	0.0541487	7.3972				protein_coding								
	CALCOCO1	0.0541179	2.88709				protein_coding								
	ZSCAN32	0.0541179	2.88709				protein_coding								
	FHIT	0.0541179	2.88709				protein_coding								
	CAPN15	0.0540303	6.13548				protein_coding								
	TTC7A	0.0540153	4.79588				protein_coding								
	SLC37A1	0.0540127	3.43007				protein_coding								
	PPP1R14B	0.053989	8.53722				protein_coding								
	NUDT4B	0.0539362	4.50046				protein_coding								
	PIR	0.0539058	1.98872				protein_coding								
	STAM2	0.0538282	3.42359				protein_coding								
	UBA7	0.0538173	3.81872				protein_coding								
	ENSG00000301917	0.0538106	4.186				lncRNA								
	TOMM20P4	0.0537935	1.50697				processed_pseudogene								
	HSBP1	0.0537362	6.59716				protein_coding								
	RNFT1	0.0536927	2.49441				protein_coding								
	KDM3B	0.0536298	5.88127				protein_coding								
	C2CD3	0.0536208	4.02679				protein_coding								
	DUSP6	0.0534419	6.92215				protein_coding								
	EXOSC9	0.0534183	6.0054				protein_coding								
	TOP3BP1	0.0533995	1.97104				processed_pseudogene								
	CMTM8	0.0533899	3.80382				protein_coding								
	WDR26	0.0533557	6.00323				protein_coding								
	TMEM250	0.0533557	6.00323				protein_coding								
	C6orf120	0.0533505	4.11254				protein_coding								
	RPL10AP1	0.0532923	-1.7259				processed_pseudogene								
	ENSG00000266931	0.0532923	-1.7259				transcribed_unprocessed_pseudogene								
	Metazoa_SRP	0.0532923	-1.7259				misc_RNA								
	VTA1	0.0532502	5.458				protein_coding								
	ZBED6	0.0532281	5.51941				protein_coding								
	SNHG20	0.0531778	2.73662				lncRNA								
	WARS2-AS1	0.0531616	2.85373				lncRNA								
	PREPL	0.0531465	4.93218				protein_coding								
	TBL3	0.0531357	4.57688				protein_coding								
	MTHFD1	0.0531291	6.76803				protein_coding								
	RELT	0.0531165	4.10445				protein_coding								
	UTP3	0.0530565	6.16975				protein_coding								
	TOMM40	0.0530535	6.39536				protein_coding								
	HNRNPU	0.0530329	9.3907				protein_coding								
	CDK2AP2	0.0529547	7.80904				protein_coding								
	RPL10A	0.0528502	10.0763				protein_coding								
	PDCD10	0.0527028	6.42984				protein_coding								
	ENSG00000299646	0.0526474	2.22447				lncRNA								
	UBE2V1	0.0525749	6.35024				protein_coding								
	PIK3R2	0.052535	3.26047				protein_coding								
	GEMIN7	0.0524844	4.45033				protein_coding								
	SDHAF4	0.0524508	2.82942				protein_coding								
	RAVER1	0.0524076	5.42917				protein_coding								
	AIF1	0.0523364	4.90452				protein_coding								
	DDX42	0.0523353	6.36115				protein_coding								
	SREBF1	0.052241	5.52912				protein_coding								
	RPL18P13	0.052198	-1.76327				transcribed_processed_pseudogene								
	ENSG00000286841	0.052198	-1.76327				lncRNA								
	ENSG00000304816	0.052198	-1.76327				lncRNA								
	PIGC	0.0521539	4.07166				protein_coding								
	GRHPR	0.0520822	5.82827				protein_coding								
	SMPD4	0.052081	5.75813				protein_coding								
	KDM4B	0.0520447	5.07904				protein_coding								
	NMT2	0.0519657	3.8129				protein_coding								
	RAB4A	0.0519212	5.03986				protein_coding								
	SLC50A1	0.0519174	4.72384				protein_coding								
	UBE2B	0.0518967	6.86947				protein_coding								
	WDR25	0.0518872	3.35712				protein_coding								
	COPS5	0.051868	5.23656				protein_coding								
	EIF3J-DT	0.0518645	2.80967				lncRNA								
	PTDSS1	0.0518612	5.95235				protein_coding								
	PDAP1	0.0518534	6.80317				protein_coding								
	CEACAM1	0.0518428	2.4312				protein_coding								
	ENSG00000279924	0.051823	-1.24774				transcribed_unprocessed_pseudogene								
	ABCD1	0.0518027	1.91669				protein_coding								
	SPDL1	0.0517787	4.88578				protein_coding								
	ENSG00000256843	0.0517023	1.10952				processed_pseudogene								
	ENSG00000279529	0.0517023	1.10952				lncRNA								
	CHASERR	0.051657	7.30445				lncRNA								
	UBALD1	0.0516558	4.05499				protein_coding								
	USP20	0.051637	4.88106				protein_coding								
	PDCD7	0.0516042	5.28828				protein_coding								
	BAG5	0.0515742	5.16359				protein_coding								
	AK6	0.0515723	5.55675				protein_coding								
	ENSG00000258790	0.051545	6.61601				protein_coding								
	ALS2	0.0514769	3.34345				protein_coding								
	USP49	0.0513897	3.09296				protein_coding								
	OR7E66P	0.0513702	1.09849				unprocessed_pseudogene								
	MAP3K13	0.0513647	4.67511				protein_coding								
	RAB21	0.0512996	6.03117				protein_coding								
	NDC1	0.0512805	5.49706				protein_coding								
	RASSF3	0.0512792	5.01852				protein_coding								
	ERVK13-1	0.051269	1.67257				lncRNA								
	COCH	0.0512618	2.78965				protein_coding								
	CSNK1G1	0.051186	5.08468				protein_coding								
	CDYL2	0.051146	4.03811				protein_coding								
	TMEM39B	0.0510927	5.49087				protein_coding								
	UNC119	0.0510873	5.76774				protein_coding								
	TAF1B	0.0510606	4.60432				protein_coding								
	HOXA11	0.0510004	-0.889227				protein_coding								
	EHD3	0.0510004	-0.889227				protein_coding								
	NEXMIF	0.0510004	-0.889227				protein_coding								
	ENTPD2	0.0510004	-0.889227				protein_coding								
	SEZ6	0.0510004	-0.889227				protein_coding								
	MYLK	0.0510004	-0.889227				protein_coding								
	CAMSAP3	0.0510004	-0.889227				protein_coding								
	ATP8B1	0.0510004	-0.889227				protein_coding								
	MECOM	0.0510004	-0.889227				protein_coding								
	EFNA2	0.0510004	-0.889227				protein_coding								
	BMP7	0.0510004	-0.889227				protein_coding								
	CUBN	0.0510004	-0.889227				protein_coding								
	ADGRG6	0.0510004	-0.889227				protein_coding								
	NUDT12	0.0510004	-0.889227				protein_coding								
	MOCS1	0.0510004	-0.889227				protein_coding								
	MYRF	0.0510004	-0.889227				protein_coding								
	YWHAH-AS1	0.0510004	-0.889227				lncRNA								
	SOX15	0.0510004	-0.889227				protein_coding								
	KIF1A	0.0510004	-0.889227				protein_coding								
	C1QL1	0.0510004	-0.889227				protein_coding								
	FST	0.0510004	-0.889227				protein_coding								
	DAB2IP	0.0510004	-0.889227				protein_coding								
	CLBA1	0.0510004	-0.889227				protein_coding								
	MARVELD3	0.0510004	-0.889227				protein_coding								
	GAREM1	0.0510004	-0.889227				protein_coding								
	MMEL1	0.0510004	-0.889227				protein_coding								
	LHX9	0.0510004	-0.889227				protein_coding								
	LIX1	0.0510004	-0.889227				protein_coding								
	ESAM	0.0510004	-0.889227				protein_coding								
	WWC2	0.0510004	-0.889227				protein_coding								
	DAB2	0.0510004	-0.889227				protein_coding								
	SRSF12	0.0510004	-0.889227				protein_coding								
	JAM2	0.0510004	-0.889227				protein_coding								
	CFAP70	0.0510004	-0.889227				protein_coding								
	KALRN	0.0510004	-0.889227				protein_coding								
	IHH	0.0510004	-0.889227				protein_coding								
	NUAK2	0.0510004	-0.889227				protein_coding								
	HEY1	0.0510004	-0.889227				protein_coding								
	GEM	0.0510004	-0.889227				protein_coding								
	C11orf65	0.0510004	-0.889227				protein_coding								
	SAMD14	0.0510004	-0.889227				protein_coding								
	NIBAN3	0.0510004	-0.889227				protein_coding								
	HID1	0.0510004	-0.889227				protein_coding								
	XIRP1	0.0510004	-0.889227				protein_coding								
	KCTD19	0.0510004	-0.889227				protein_coding								
	SLC35G2	0.0510004	-0.889227				protein_coding								
	ANTXR1	0.0510004	-0.889227				protein_coding								
	CDH2	0.0510004	-0.889227				protein_coding								
	SULT1B1	0.0510004	-0.889227				protein_coding								
	GIPC3	0.0510004	-0.889227				protein_coding								
	TLCD5	0.0510004	-0.889227				protein_coding								
	PRR34	0.0510004	-0.889227				lncRNA								
	B3GALT5	0.0510004	-0.889227				protein_coding								
	TMPRSS2	0.0510004	-0.889227				protein_coding								
	KLHL32	0.0510004	-0.889227				protein_coding								
	FOXD2	0.0510004	-0.889227				protein_coding								
	TMEM232	0.0510004	-0.889227				protein_coding								
	CACNA1H	0.0510004	-0.889227				protein_coding								
	HOXC6	0.0510004	-0.889227				protein_coding								
	SSBP3-AS1	0.0510004	-0.889227				lncRNA								
	Y_RNA	0.0510004	-0.889227				misc_RNA								
	RNU6-82P	0.0510004	-0.889227				snRNA								
	RNU4-38P	0.0510004	-0.889227				snRNA								
	Y_RNA	0.0510004	-0.889227				misc_RNA								
	CCDC160	0.0510004	-0.889227				protein_coding								
	TRIM15	0.0510004	-0.889227				protein_coding								
	SNORD15B	0.0510004	-0.889227				snoRNA								
	GPX3	0.0510004	-0.889227				protein_coding								
	TRAJ13	0.0510004	-0.889227				TR_J_gene								
	SNORD70	0.0510004	-0.889227				snoRNA								
	RTL8B	0.0510004	-0.889227				protein_coding								
	LPAL2	0.0510004	-0.889227				transcribed_unprocessed_pseudogene								
	POLR3DP1	0.0510004	-0.889227				processed_pseudogene								
	NUP133-DT	0.0510004	-0.889227				lncRNA								
	C6orf47-AS1	0.0510004	-0.889227				lncRNA								
	SPAG5-AS1	0.0510004	-0.889227				lncRNA								
	ENSG00000227766	0.0510004	-0.889227				unprocessed_pseudogene								
	ENSG00000229591	0.0510004	-0.889227				lncRNA								
	GNB1-DT	0.0510004	-0.889227				lncRNA								
	RB1-DT	0.0510004	-0.889227				lncRNA								
	PA2G4P6	0.0510004	-0.889227				processed_pseudogene								
	ENSG00000234584	0.0510004	-0.889227				lncRNA								
	FOXP4-AS1	0.0510004	-0.889227				lncRNA								
	ENSG00000234859	0.0510004	-0.889227				lncRNA								
	ENSG00000234961	0.0510004	-0.889227				lncRNA								
	DRG1P1	0.0510004	-0.889227				processed_pseudogene								
	LINC01679	0.0510004	-0.889227				lncRNA								
	RN7SL589P	0.0510004	-0.889227				misc_RNA								
	RN7SL825P	0.0510004	-0.889227				misc_RNA								
	RPL21P95	0.0510004	-0.889227				processed_pseudogene								
	SOX2-OT	0.0510004	-0.889227				lncRNA								
	DUBR	0.0510004	-0.889227				lncRNA								
	ENSG00000244192	0.0510004	-0.889227				processed_pseudogene								
	DRC12	0.0510004	-0.889227				protein_coding								
	PELO-AS1	0.0510004	-0.889227				lncRNA								
	FAM218A	0.0510004	-0.889227				lncRNA								
	CXXC5-AS1	0.0510004	-0.889227				lncRNA								
	ENSG00000250658	0.0510004	-0.889227				lncRNA								
	Y_RNA	0.0510004	-0.889227				misc_RNA								
	RNU6-319P	0.0510004	-0.889227				snRNA								
	RNU6-1231P	0.0510004	-0.889227				snRNA								
	ENSG00000253263	0.0510004	-0.889227				lncRNA								
	ENSG00000253557	0.0510004	-0.889227				lncRNA								
	ZNF578	0.0510004	-0.889227				protein_coding								
	ARHGAP5-AS1	0.0510004	-0.889227				lncRNA								
	FDPSP3	0.0510004	-0.889227				transcribed_processed_pseudogene								
	ENSG00000258962	0.0510004	-0.889227				processed_pseudogene								
	ENSG00000260955	0.0510004	-0.889227				lncRNA								
	DHX35-DT	0.0510004	-0.889227				lncRNA								
	MIA	0.0510004	-0.889227				protein_coding								
	ENSG00000263335	0.0510004	-0.889227				lncRNA								
	MIR4473	0.0510004	-0.889227				miRNA								
	ENSG00000266783	0.0510004	-0.889227				lncRNA								
	RNFT1-DT	0.0510004	-0.889227				lncRNA								
	CSAG2	0.0510004	-0.889227				protein_coding								
	ENSG00000268912	0.0510004	-0.889227				lncRNA								
	CSAG3	0.0510004	-0.889227				protein_coding								
	ENSG00000270165	0.0510004	-0.889227				lncRNA								
	DGCR5	0.0510004	-0.889227				lncRNA								
	ENSG00000273306	0.0510004	-0.889227				lncRNA								
	ENSG00000273353	0.0510004	-0.889227				lncRNA								
	ENSG00000273485	0.0510004	-0.889227				lncRNA								
	H2BC8	0.0510004	-0.889227				protein_coding								
	ENSG00000275839	0.0510004	-0.889227				processed_pseudogene								
	ENSG00000276651	0.0510004	-0.889227				lncRNA								
	ENSG00000277491	0.0510004	-0.889227				lncRNA								
	ENSG00000277599	0.0510004	-0.889227				misc_RNA								
	ENSG00000278370	0.0510004	-0.889227				lncRNA								
	ENSG00000278383	0.0510004	-0.889227				lncRNA								
	ENSG00000278713	0.0510004	-0.889227				lncRNA								
	ENSG00000278869	0.0510004	-0.889227				lncRNA								
	ENSG00000284902	0.0510004	-0.889227				lncRNA								
	SMN-AS1	0.0510004	-0.889227				lncRNA								
	TOP1P1	0.0510004	-0.889227				processed_pseudogene								
	LINC02793	0.0510004	-0.889227				lncRNA								
	ENSG00000285926	0.0510004	-0.889227				lncRNA								
	ENSG00000288039	0.0510004	-0.889227				lncRNA								
	5S_rRNA	0.0510004	-0.889227				rRNA_pseudogene								
	ENSG00000288801	0.0510004	-0.889227				lncRNA								
	ENSG00000288898	0.0510004	-0.889227				lncRNA								
	ENSG00000289009	0.0510004	-0.889227				lncRNA								
	ENSG00000289050	0.0510004	-0.889227				lncRNA								
	ENSG00000289280	0.0510004	-0.889227				lncRNA								
	ENSG00000290114	0.0510004	-0.889227				lncRNA								
	ENSG00000293989	0.0510004	-0.889227				lncRNA								
	ENSG00000294356	0.0510004	-0.889227				lncRNA								
	ENSG00000295424	0.0510004	-0.889227				lncRNA								
	ENSG00000295570	0.0510004	-0.889227				lncRNA								
	ENSG00000295728	0.0510004	-0.889227				lncRNA								
	ENSG00000295820	0.0510004	-0.889227				lncRNA								
	ENSG00000295835	0.0510004	-0.889227				lncRNA								
	ENSG00000298665	0.0510004	-0.889227				lncRNA								
	ENSG00000299052	0.0510004	-0.889227				lncRNA								
	ENSG00000300031	0.0510004	-0.889227				lncRNA								
	ENSG00000301026	0.0510004	-0.889227				lncRNA								
	ENSG00000301080	0.0510004	-0.889227				lncRNA								
	ENSG00000302819	0.0510004	-0.889227				lncRNA								
	ENSG00000305854	0.0510004	-0.889227				lncRNA								
	ENSG00000307472	0.0510004	-0.889227				lncRNA								
	ENSG00000308325	0.0510004	-0.889227				lncRNA								
	ENSG00000308998	0.0510004	-0.889227				lncRNA								
	ENSG00000310519	0.0510004	-0.889227				lncRNA								
	AK3	0.0509838	5.99666				protein_coding								
	MREG	0.0509812	4.16587				protein_coding								
	UBE2D3	0.0508417	8.78196				protein_coding								
	HSP90AB1	0.0507987	11.5167				protein_coding								
	COQ9	0.0507972	4.5957				protein_coding								
	MCL1	0.0507971	7.92635				protein_coding								
	MBD3	0.0507831	5.99009				protein_coding								
	HNRNPUL2	0.0507263	6.56913				protein_coding								
	MTFR2	0.0507197	5.37309				protein_coding								
	SASH3	0.0507054	5.57658				protein_coding								
	ENDOD1	0.0506241	4.02104				protein_coding								
	CHAMP1	0.0506156	5.57366				protein_coding								
	ZBED4	0.0506031	5.02029				protein_coding								
	SPAG7	0.0505331	5.70701				protein_coding								
	ERGIC1	0.0505253	5.57073				protein_coding								
	DOCK8	0.0505196	6.19211				protein_coding								
	EOLA2	0.0505186	4.38511				protein_coding								
	ENSG00000220370	0.0504736	4.12883				processed_pseudogene								
	RP9	0.0504465	4.63057				protein_coding								
	SEC62	0.0504039	6.35347				protein_coding								
	TARS2	0.0503934	3.78746				protein_coding								
	ENSG00000293320	0.0503799	7.90097				lncRNA								
	DUSP18	0.0502974	3.70037				protein_coding								
	NEK2	0.0502774	5.24482				protein_coding								
	CISD1	0.0502722	6.23452				protein_coding								
	AP5M1	0.0502112	4.98369				protein_coding								
	UCKL1	0.0501671	4.83295				protein_coding								
	MON1B	0.050096	5.6183				protein_coding								
	RBBP4	0.0500477	7.81383				protein_coding								
	RPL36A-HNRNPH2	0.0500157	8.94216				protein_coding								
	ARID4A	0.0500146	4.82805				protein_coding								
	ATIC	0.0499863	7.23512				protein_coding								
	RPL23AP43	0.0499816	1.2159				processed_pseudogene								
	RPL17	0.0499033	8.56848				protein_coding								
	ATAD1	0.049875	5.2319				protein_coding								
	PLD3	0.0498019	4.59519				protein_coding								
	NFATC3	0.0497965	7.12138				protein_coding								
	RPS21	0.0497293	10.6952				protein_coding								
	TMEM259	0.0497224	5.72357				protein_coding								
	USP42	0.0497188	4.24698				protein_coding								
	ENSG00000230896	0.0496728	1.04342				lncRNA								
	FGF7	0.0496707	-1.84606				protein_coding								
	NPIPB9	0.0496707	-1.84606				protein_coding								
	Y_RNA	0.0496707	-1.84606				misc_RNA								
	Y_RNA	0.0496707	-1.84606				misc_RNA								
	Y_RNA	0.0496707	-1.84606				misc_RNA								
	PPP4R2P2	0.0496707	-1.84606				processed_pseudogene								
	NCOR1P1	0.0496707	-1.84606				transcribed_unprocessed_pseudogene								
	ENSG00000278001	0.0496707	-1.84606				processed_pseudogene								
	RPL23AP61	0.0496707	-1.84606				processed_pseudogene								
	ENSG00000286608	0.0496707	-1.84606				lncRNA								
	ENSG00000290409	0.0496707	-1.84606				lncRNA								
	ENSG00000301213	0.0496707	-1.84606				lncRNA								
	HOTAIRM1	0.0496604	0.621146				lncRNA								
	ZNF331	0.0496229	3.67876				protein_coding								
	TSPYL4	0.0496229	3.67876				protein_coding								
	RPL26P19	0.0496054	8.07612				processed_pseudogene								
	ANK3	0.0495993	6.32766				protein_coding								
	COX7CP1	0.049572	1.63198				transcribed_processed_pseudogene								
	NOCT	0.0494727	1.84089				protein_coding								
	ENSG00000308813	0.0494727	1.84089				lncRNA								
	FAM161A	0.0493482	2.72785				protein_coding								
	DDI2	0.0493287	5.69672				protein_coding								
	UCHL5	0.0492893	5.94215				protein_coding								
	ATP8B4	0.0491213	5.4275				protein_coding								
	ETF1	0.0490905	6.60938				protein_coding								
	ENSG00000235288	0.0490615	3.14701				lncRNA								
	STX6	0.0490415	5.14496				protein_coding								
	ENSG00000260537	0.048982	2.44669				protein_coding								
	ANKRD13D	0.0489153	5.9538				protein_coding								
	ENSG00000255339	0.0488849	5.51846				protein_coding								
	CASP4LP	0.0488504	1.82129				lncRNA								
	LAS1L	0.0488358	6.3577				protein_coding								
	RAB10	0.0488242	6.60103				protein_coding								
	TRMT2A	0.0487343	4.43263				protein_coding								
	LYST	0.048687	6.6625				protein_coding								
	ARL2	0.0486619	5.13309				protein_coding								
	ITGB1P1	0.0485849	1.00919				processed_pseudogene								
	RARS2	0.0485487	4.85837				protein_coding								
	UBE2J1	0.048491	5.59828				protein_coding								
	HMGB3	0.0484689	5.30154				protein_coding								
	ENSG00000285053	0.0484358	3.55231				protein_coding								
	MED7	0.0484218	4.42291				protein_coding								
	ENSG00000289707	0.0483883	2.08619				lncRNA								
	PMS2P6	0.0483751	-1.88672				transcribed_unprocessed_pseudogene								
	ALG1L7P	0.0483751	-1.88672				transcribed_unprocessed_pseudogene								
	ENSG00000293097	0.0483751	-1.88672				lncRNA								
	FAM53B	0.0483445	4.08192				protein_coding								
	RPL9P7	0.0483083	7.58678				processed_pseudogene								
	CMPK1	0.0482967	7.13679				protein_coding								
	CS	0.0482852	7.20366				protein_coding								
	ENSG00000244380	0.0482399	0.020899				lncRNA								
	MTCO1P2	0.0482391	-0.97706				unprocessed_pseudogene								
	YAE1	0.0482108	1.80143				protein_coding								
	ENSG00000259926	0.0482108	1.80143				lncRNA								
	ENSG00000279502	0.0482108	1.80143				TEC								
	RPL17-C18orf32	0.0481779	8.61629				protein_coding								
	PARP11	0.0481129	3.94161				protein_coding								
	GCOM1	0.0480212	0.991772				protein_coding								
	GPBP1	0.0479945	6.38378				protein_coding								
	SLMAP	0.0479692	5.33988				protein_coding								
	SEPTIN6	0.0478668	7.55631				protein_coding								
	EVI2B	0.0478649	5.70696				protein_coding								
	SUN1	0.0478419	4.83658				protein_coding								
	CASD1	0.0478163	3.93251				protein_coding								
	PUM2	0.0477966	6.03217				protein_coding								
	IL23A	0.0477735	4.59132				protein_coding								
	CD8A	0.0477685	8.48164				protein_coding								
	ZNF76	0.0477394	5.48305				protein_coding								
	ANP32A	0.0477263	8.33649				protein_coding								
	CD2	0.0476505	8.39219				protein_coding								
	ENSG00000285779	0.047555	5.95276				protein_coding								
	ENSG00000277998	0.0475158	3.92335				unprocessed_pseudogene								
	SRI	0.047507	8.4375				protein_coding								
	TMEM209	0.0474934	5.15768				protein_coding								
	NUP160	0.0474497	5.27028				protein_coding								
	PVRIG	0.0474317	4.53608				protein_coding								
	CLDN15	0.0473568	3.51925				protein_coding								
	R3HCC1L	0.0472595	2.6633				protein_coding								
	LEF1	0.0472243	7.13429				protein_coding								
	LANCL2	0.0472115	3.91413				protein_coding								
	RNH1	0.0471982	5.91293				protein_coding								
	CNOT9	0.047104	6.90412				protein_coding								
	SENP3-EIF4A1	0.0470146	9.62079				protein_coding								
	KIAA0408	0.0469639	2.27664				protein_coding								
	BOLA2	0.0469593	5.26529				protein_coding								
	PATL1	0.0469425	6.1309				protein_coding								
	VDAC2P5	0.0468332	4.03592				processed_pseudogene								
	BOLA2B	0.0467133	6.26603				protein_coding								
	TAC3	0.0466768	-1.02448				protein_coding								
	SNORA70	0.0466768	-1.02448				snoRNA								
	SNORA41	0.0466768	-1.02448				snoRNA								
	OLA1P2	0.0466768	-1.02448				processed_pseudogene								
	ENSG00000213976	0.0466768	-1.02448				unprocessed_pseudogene								
	SEC11B	0.0466768	-1.02448				processed_pseudogene								
	ENSG00000232234	0.0466768	-1.02448				lncRNA								
	INMT-MINDY4	0.0466768	-1.02448				protein_coding								
	SNORA44	0.0466768	-1.02448				snoRNA								
	ENSG00000278897	0.0466768	-1.02448				TEC								
	ENSG00000279491	0.0466768	-1.02448				TEC								
	ENSG00000290598	0.0466768	-1.02448				lncRNA								
	ENSG00000292256	0.0466768	-1.02448				lncRNA								
	ENSG00000294296	0.0466768	-1.02448				lncRNA								
	ENSG00000307224	0.0466768	-1.02448				lncRNA								
	ENSG00000308869	0.0466768	-1.02448				lncRNA								
